"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"IGKV2D.30","CG48",214,"-0.03 (0.03)",0.620818723763259
"IGKV2D.30","PB",91,"0.04 (0.04)",0.370240326378154
"IGKV2D.30","SP",146,"0.04 (0.03)",0.221563911876754
"IGKV2D.40","CG32",216,"-0.04 (0.03)",0.470808421520754
"IGKV2D.40","CG48",214,"0 (0.03)",0.832971211546954
"IGKV2D.40","PB",91,"-0.02 (0.05)",0.616058522103136
"IGKV2D.40","SP",146,"0.04 (0.03)",0.294448202041858
"IGKV3.11","CG32",216,"-0.05 (0.02)",0.103143217570411
"IGKV3.11","CG48",214,"0.01 (0.02)",0.690137489609334
"IGKV3.11","PB",91,"0.02 (0.05)",0.739633360291853
"IGKV3.11","SP",146,"0.05 (0.03)",0.156356144532072
"IGKV3.15","CG32",216,"-0.02 (0.02)",0.538649011217515
"IGKV3.15","CG48",214,"0.01 (0.02)",0.952640449338602
"IGKV3.15","PB",91,"0.01 (0.05)",0.711443685688173
"IGKV3.15","SP",146,"0.03 (0.02)",0.386194643308603
"IGKV3.20","CG32",216,"0 (0.02)",0.879534430894619
"IGKV3.20","CG48",214,"0 (0.02)",0.69118610619377
"IGKV3.20","PB",91,"0.05 (0.03)",0.226894063715538
"IGKV3.20","SP",146,"0.02 (0.02)",0.308629976257705
"IGKV3.7","CG32",216,"0.01 (0.02)",0.621176016180945
"IGKV3.7","CG48",214,"0.01 (0.02)",0.906856566530733
"IGKV3.7","PB",91,"0.04 (0.03)",0.300857765248813
"IGKV3.7","SP",146,"0 (0.02)",0.681413379043383
"IGKV3D.11","CG32",216,"-0.05 (0.02)",0.102235256275394
"IGKV3D.11","CG48",214,"0.01 (0.02)",0.695912190133854
"IGKV3D.11","PB",91,"0.02 (0.05)",0.737860758424376
"IGKV3D.11","SP",146,"0.05 (0.03)",0.155587410099983
"IGKV3D.15","CG32",216,"-0.05 (0.03)",0.225605344385749
"IGKV3D.15","CG48",214,"0 (0.04)",0.825209034880897
"IGKV3D.15","PB",91,"0.05 (0.05)",0.182571621258371
"IGKV3D.15","SP",146,"0 (0.04)",0.40599910851181
"IGKV3D.20","CG32",216,"0.01 (0.02)",0.834991268983458
"IGKV3D.20","CG48",214,"0 (0.02)",0.818016551965335
"IGKV3D.20","PB",91,"0.04 (0.03)",0.154988891782938
"IGKV3D.20","SP",146,"0.02 (0.02)",0.292027123146748
"IGKV3D.7","CG32",216,"-0.04 (0.02)",0.304346847333569
"IGKV3D.7","CG48",214,"0.01 (0.03)",0.926610764928771
"IGKV3D.7","PB",91,"0.01 (0.05)",0.493570080292834
"IGKV3D.7","SP",146,"0.02 (0.03)",0.510341483742977
"IGKV4.1","CG32",216,"0 (0.03)",0.880667691461455
"IGKV4.1","CG48",214,"-0.02 (0.02)",0.519076939905956
"IGKV4.1","PB",91,"0.01 (0.05)",0.734319741911303
"IGKV4.1","SP",146,"-0.01 (0.03)",0.879012693552467
"IGKV6D.21","CG32",208,"0.06 (0.04)",0.397171913301433
"IGKV6D.21","CG48",205,"-0.06 (0.06)",0.42601205712281
"IGKV6D.21","PB",85,"0.05 (0.1)",0.690381433474963
"IGKV6D.21","SP",138,"0.11 (0.06)",0.351282210589578
"IGKV6D.41","CG32",207,"0.05 (0.05)",0.476597046525864
"IGKV6D.41","CG48",204,"-0.06 (0.06)",0.443365235034975
"IGKV6D.41","PB",85,"0.05 (0.1)",0.830772259966898
"IGKV6D.41","SP",138,"0.12 (0.06)",0.284950480666095
"IGLC1","CG32",216,"0 (0.02)",0.79650992076103
"IGLC1","CG48",214,"-0.01 (0.02)",0.658448582951144
"IGLC1","PB",91,"0.01 (0.04)",0.874034274031275
"IGLC1","SP",146,"0.04 (0.02)",0.166209838548358
"IGLC2","CG32",216,"0.01 (0.02)",0.764537660014846
"IGLC2","CG48",214,"-0.03 (0.02)",0.17576571171805
"IGLC2","PB",91,"0.01 (0.04)",0.813399434160013
"IGLC2","SP",146,"0.02 (0.02)",0.482805300063489
"IGLC3","CG32",216,"0.01 (0.02)",0.787100651268109
"IGLC3","CG48",214,"-0.03 (0.02)",0.173058015360528
"IGLC3","PB",91,"0.01 (0.04)",0.809756478835644
"IGLC3","SP",146,"0.02 (0.02)",0.516286312114836
"IGLC6","CG32",216,"0.02 (0.02)",0.84734897827485
"IGLC6","CG48",214,"-0.01 (0.02)",0.725578444960846
"IGLC6","PB",91,"0.01 (0.05)",0.974705516283179
"IGLC6","SP",146,"0.03 (0.03)",0.255657584248597
"IGLC7","CG32",216,"0.03 (0.02)",0.747064296428813
"IGLC7","CG48",214,"-0.01 (0.02)",0.624841588487528
"IGLC7","PB",91,"0 (0.05)",0.883295563323069
"IGLC7","SP",146,"0.01 (0.02)",0.712603738196695
"IGLL1","CG32",216,"0.01 (0.03)",0.757970551086988
"IGLL1","CG48",214,"0 (0.03)",0.800378306441921
"IGLL1","PB",91,"0.03 (0.05)",0.593116136144733
"IGLL1","SP",146,"0.01 (0.03)",0.707696834303044
"IGLL5","CG32",216,"0.01 (0.02)",0.711442140079407
"IGLL5","CG48",214,"-0.02 (0.02)",0.571517759338241
"IGLL5","PB",91,"0.01 (0.03)",0.920487937877992
"IGLL5","SP",146,"0.03 (0.02)",0.185111898681844
"IGLV1.36","CG32",202,"0.04 (0.06)",0.844493495782606
"IGLV1.36","CG48",197,"0 (0.06)",0.791961027393861
"IGLV1.36","PB",84,"0.07 (0.1)",0.774069517535704
"IGLV1.36","SP",141,"0.11 (0.07)",0.27476374154356
"IGLV1.40","CG32",215,"0.01 (0.05)",0.54496675690656
"IGLV1.40","CG48",214,"-0.09 (0.05)",0.198946437881276
"IGLV1.40","PB",91,"0.05 (0.06)",0.455844155757548
"IGLV1.40","SP",146,"0.02 (0.05)",0.557996543517485
"IGLV1.44","CG32",216,"-0.05 (0.05)",0.254316272358533
"IGLV1.44","CG48",212,"-0.13 (0.07)",0.0352930351286233
"IGLV1.44","PB",91,"0.02 (0.09)",0.824352244390727
"IGLV1.44","SP",146,"0.01 (0.06)",0.224567328086492
"IGLV1.47","CG32",216,"-0.01 (0.03)",0.323675952408878
"IGLV1.47","CG48",214,"-0.02 (0.03)",0.261546085759908
"IGLV1.47","PB",91,"-0.03 (0.04)",0.894430092067315
"IGLV1.47","SP",146,"0.07 (0.04)",0.167017867139776
"IGLV1.51","CG32",216,"0.01 (0.04)",0.369258089241869
"IGLV1.51","CG48",214,"-0.03 (0.03)",0.232806570614638
"IGLV1.51","PB",91,"0 (0.07)",0.926083859050575
"IGLV1.51","SP",146,"-0.01 (0.03)",0.869666362100791
"IGLV2.11","CG32",216,"0.02 (0.04)",0.823792150825223
"IGLV2.11","CG48",214,"-0.12 (0.04)",0.312662069718663
"IGLV2.11","PB",91,"-0.06 (0.09)",0.480325079556397
"IGLV2.11","SP",146,"0.01 (0.03)",0.834532617047949
"IGLV2.18","CG32",216,"0.03 (0.04)",0.873305952800122
"IGLV2.18","CG48",213,"-0.08 (0.04)",0.24974402572038
"IGLV2.18","PB",91,"0.05 (0.06)",0.629340900761954
"IGLV2.18","SP",146,"0.06 (0.04)",0.418016034998097
"IGLV2.8","CG32",216,"0.1 (0.11)",0.477017161998655
"IGLV2.8","CG48",214,"-0.04 (0.1)",0.34687990469286
"IGLV2.8","PB",91,"0 (0.21)",0.557877611038877
"IGLV2.8","SP",146,"0.08 (0.12)",0.947984874059664
"IGLV3.1","CG32",138,"-0.12 (0.07)",0.0998471472607069
"IGLV3.1","CG48",160,"-0.1 (0.07)",0.019524360847249
"IGLV3.1","PB",51,"0.03 (0.09)",0.650970224237817
"IGLV3.1","SP",112,"0.06 (0.07)",0.548215627967361
"IGLV3.10","CG32",198,"-0.03 (0.08)",0.591913989724477
"IGLV3.10","CG48",200,"-0.01 (0.07)",0.361189600802132
"IGLV3.10","PB",81,"0.04 (0.1)",0.948425968412104
"IGLV3.10","SP",139,"0.06 (0.07)",0.660480533107124
"IGLV3.16","CG32",216,"-0.03 (0.04)",0.44044338822948
"IGLV3.16","CG48",214,"0 (0.03)",0.988933837548852
"IGLV3.16","PB",91,"0.13 (0.06)",0.046276874598949
"IGLV3.16","SP",146,"0.09 (0.04)",0.287822500985201
"IGLV3.19","CG32",126,"0.19 (0.21)",0.59212118594889
"IGLV3.19","CG48",133,"0.1 (0.23)",0.33331246453519
"IGLV3.19","PB",56,"0.13 (0.43)",0.567010890801395
"IGLV3.19","SP",84,"0.59 (0.24)",0.333663510289881
"IGLV3.21","CG32",216,"-0.08 (0.03)",0.119409901572217
"IGLV3.21","CG48",214,"-0.04 (0.03)",0.552332510361438
"IGLV3.21","PB",91,"0.01 (0.04)",0.957855080011753
"IGLV3.21","SP",146,"-0.02 (0.03)",0.925971828848685
"IGLV3.25","CG32",216,"-0.03 (0.04)",0.458090508449072
"IGLV3.25","CG48",214,"0.02 (0.03)",0.802577726880642
"IGLV3.25","PB",91,"0.1 (0.06)",0.174237167348484
"IGLV3.25","SP",146,"0.09 (0.04)",0.349072783581981
"IGLV3.27","CG32",216,"-0.02 (0.04)",0.539598237726851
"IGLV3.27","CG48",214,"0.03 (0.03)",0.654849753831216
"IGLV3.27","PB",91,"0.11 (0.06)",0.109459169651035
"IGLV3.27","SP",146,"0.1 (0.04)",0.333034569072195
"IGLV3.9","CG32",216,"-0.04 (0.03)",0.164343213700221
"IGLV3.9","CG48",214,"-0.04 (0.03)",0.34143811538977
"IGLV3.9","PB",91,"-0.01 (0.04)",0.91675949256558
"IGLV3.9","SP",146,"0.02 (0.03)",0.456096760471301
"IGLV4.69","CG32",211,"0 (0.05)",0.707317637459834
"IGLV4.69","CG48",210,"-0.05 (0.04)",0.444935476280808
"IGLV4.69","PB",88,"-0.03 (0.08)",0.660510107908292
"IGLV4.69","SP",143,"-0.02 (0.06)",0.592557994109582
"IGLV6.57","CG32",216,"0.01 (0.03)",0.940451593460691
"IGLV6.57","CG48",214,"-0.03 (0.03)",0.750261445870121
"IGLV6.57","PB",91,"0 (0.06)",0.711443685688173
"IGLV6.57","SP",145,"0.04 (0.03)",0.716669197507559
"IGLV7.43","CG32",216,"-0.02 (0.04)",0.933595687349565
"IGLV7.43","CG48",214,"-0.01 (0.04)",0.474934326776557
"IGLV7.43","PB",91,"0.01 (0.05)",0.69749264483542
"IGLV7.43","SP",146,"-0.02 (0.08)",0.737313413034971
"IGLV7.46","CG32",216,"-0.02 (0.04)",0.933595687349565
"IGLV7.46","CG48",214,"-0.01 (0.04)",0.474934326776557
"IGLV7.46","PB",91,"0.01 (0.05)",0.69749264483542
"IGLV7.46","SP",146,"-0.02 (0.08)",0.737313413034971
"IGLV8.61","CG32",198,"-0.04 (0.04)",0.48748479496124
"IGLV8.61","CG48",190,"0.01 (0.05)",0.998702380259647
"IGLV8.61","PB",84,"0 (0.1)",0.559860449304031
"IGLV8.61","SP",130,"0 (0.05)",0.730665338263762
"IGLV9.49","CG32",150,"-0.09 (0.07)",0.798637449293462
"IGLV9.49","CG48",149,"-0.13 (0.08)",0.297405966705714
"IGLV9.49","PB",83,"-0.02 (0.09)",0.653288499451119
"IGLV9.49","SP",93,"0.02 (0.09)",0.301152518676064
"IL6ST","CG32",142,"0.07 (0.11)",0.571568478654889
"IL6ST","CG48",133,"-0.03 (0.15)",0.129416113077407
"IL6ST","PB",63,"0.23 (0.24)",0.83595275540938
"IL6ST","SP",105,"-0.24 (0.16)",0.389435013020957
"INTS4","CG32",183,"-0.02 (0.06)",0.95183977195309
"INTS4","CG48",191,"0 (0.05)",0.368632782012937
"INTS4","PB",76,"-0.04 (0.16)",0.931874943977536
"INTS4","SP",139,"-0.01 (0.05)",0.691243510267089
"IQGAP1","CG32",206,"0.12 (0.18)",0.356759919217587
"IQGAP1","CG48",202,"-0.1 (0.19)",0.877952873953467
"IQGAP1","PB",86,"0.36 (0.3)",0.147882167296407
"IQGAP1","SP",140,"0.27 (0.21)",0.142021616256445
"IRGQ","CG32",138,"0.18 (0.13)",0.347782870282243
"IRGQ","CG48",141,"-0.13 (0.1)",0.0203970408905913
"IRGQ","PB",83,"-0.09 (0.09)",0.262214065492795
"IRGQ","SP",74,"0.06 (0.17)",0.857068727601867
"ITGAL","CG32",127,"0.11 (0.08)",0.88586261217548
"ITGAL","CG48",131,"-0.01 (0.09)",0.839155453017443
"ITGAL","PB",44,"-0.07 (0.18)",0.69541875998695
"ITGAL","SP",98,"-0.01 (0.09)",0.355289918005889
"ITGB2","CG32",214,"-0.08 (0.06)",0.115893813102226
"ITGB2","CG48",209,"-0.09 (0.05)",0.120097995277146
"ITGB2","PB",91,"-0.15 (0.09)",0.257113287259715
"ITGB2","SP",142,"-0.1 (0.08)",0.769341254899717
"ITIH1","CG32",216,"-0.04 (0.02)",0.0305585148742839
"ITIH1","CG48",214,"-0.01 (0.02)",0.701704576446608
"ITIH1","PB",91,"-0.03 (0.03)",0.38035965686046
"ITIH1","SP",146,"-0.05 (0.02)",0.198568462221595
"ITIH2","CG32",216,"-0.05 (0.04)",0.0991073863783809
"ITIH2","CG48",214,"0.07 (0.04)",0.0714319966267851
"ITIH2","PB",91,"0.09 (0.09)",0.713194494930628
"ITIH2","SP",146,"-0.02 (0.04)",0.403027426153759
"ITIH3","CG32",216,"-0.03 (0.04)",0.879534430894619
"ITIH3","CG48",214,"-0.04 (0.04)",0.402298149349166
"ITIH3","PB",91,"-0.04 (0.06)",0.920487937877992
"ITIH3","SP",146,"-0.12 (0.05)",0.0207607008082425
"ITIH4","CG32",216,"-0.03 (0.02)",0.0774697529640927
"ITIH4","CG48",214,"-0.04 (0.02)",0.0804721187182285
"ITIH4","PB",91,"0 (0.04)",0.927949992859978
"ITIH4","SP",146,"-0.03 (0.03)",0.362111710081979
"JCHAIN","CG32",216,"-0.05 (0.03)",0.0732262199561318
"JCHAIN","CG48",214,"-0.02 (0.03)",0.838525656914016
"JCHAIN","PB",91,"-0.08 (0.05)",0.461540410690352
"JCHAIN","SP",146,"-0.03 (0.03)",0.704758492573487
"JUP","CG32",204,"-0.17 (0.15)",0.185946570163602
"JUP","CG48",200,"0.01 (0.12)",0.487231063523616
"JUP","PB",87,"-0.18 (0.18)",0.797661624449797
"JUP","SP",131,"0.03 (0.14)",0.269541074494196
"KHSRP","CG32",214,"0.29 (0.39)",0.339014340198329
"KHSRP","CG48",210,"0.12 (0.42)",0.611302340455459
"KHSRP","PB",91,"-1.09 (0.54)",0.113150952343721
"KHSRP","SP",146,"-0.35 (0.45)",0.181209567717371
"KIT","CG32",184,"-0.06 (0.05)",0.211760049265654
"KIT","CG48",179,"-0.02 (0.05)",0.93521637967931
"KIT","PB",80,"0.11 (0.07)",0.199055034796101
"KIT","SP",112,"-0.06 (0.08)",0.536865518392794
"KLKB1","CG32",216,"-0.02 (0.07)",0.459833162660666
"KLKB1","CG48",214,"-0.1 (0.07)",0.256146090216312
"KLKB1","PB",91,"0.1 (0.13)",0.390647159115429
"KLKB1","SP",146,"-0.03 (0.08)",0.941690638852526
"KNG1","CG32",216,"0 (0.02)",0.907933995598633
"KNG1","CG48",214,"-0.03 (0.02)",0.403097887505455
"KNG1","PB",91,"-0.01 (0.03)",0.974705516283179
"KNG1","SP",146,"-0.07 (0.02)",0.00558933629252703
"KPNB1","CG32",129,"0.07 (0.17)",0.647057941044874
"KPNB1","CG48",132,"0.03 (0.17)",0.785440207637969
"KPNB1","PB",68,"-0.18 (0.21)",0.367466115219878
"KPNB1","SP",81,"-0.28 (0.24)",0.525026708838181
"KRT1","CG32",216,"0.02 (0.07)",0.961043777612745
"KRT1","CG48",214,"-0.09 (0.07)",0.385334864156157
"KRT1","PB",91,"0.1 (0.11)",0.454426296897578
"KRT1","SP",146,"-0.13 (0.06)",0.087507217240891
"KRT10","CG32",216,"-0.03 (0.08)",0.669623385952046
"KRT10","CG48",214,"-0.07 (0.09)",0.319874789676855
"KRT10","PB",91,"0.03 (0.12)",0.676757721035115
"KRT10","SP",146,"-0.14 (0.1)",0.0537568591731646
"KRT13","CG32",185,"-0.1 (0.16)",0.774276938879644
"KRT13","CG48",195,"-0.1 (0.15)",0.367825421713552
"KRT13","PB",87,"0.25 (0.22)",0.462505843715961
"KRT13","SP",136,"0.19 (0.19)",0.36910759043751
"KRT14","CG32",216,"0.05 (0.07)",0.885770355795153
"KRT14","CG48",214,"0.12 (0.07)",0.0498399384059535
"KRT14","PB",91,"0.04 (0.11)",0.933550731632775
"KRT14","SP",146,"-0.18 (0.09)",0.107142785725329
"KRT15","CG32",216,"-0.18 (0.07)",0.0143105230272847
"KRT15","CG48",214,"0.02 (0.07)",0.844644841780003
"KRT15","PB",91,"-0.03 (0.12)",0.883295563323069
"KRT15","SP",146,"-0.07 (0.09)",0.700847552741633
"KRT16","CG32",216,"0.04 (0.06)",0.760157673694732
"KRT16","CG48",214,"0.05 (0.07)",0.10297617700524
"KRT16","PB",91,"-0.03 (0.07)",0.551581725590269
"KRT16","SP",146,"-0.04 (0.08)",0.664101133804053
"KRT17","CG32",216,"-0.14 (0.13)",0.153302561389391
"KRT17","CG48",214,"-0.02 (0.11)",0.771391680587233
"KRT17","PB",91,"0.28 (0.2)",0.831673307465318
"KRT17","SP",146,"-0.17 (0.12)",0.0628489944696974
"KRT18","CG32",214,"-0.02 (0.07)",0.474156890220661
"KRT18","CG48",212,"0.18 (0.06)",0.0336440898272887
"KRT18","PB",89,"-0.03 (0.11)",0.819013727748177
"KRT18","SP",146,"0.08 (0.08)",0.23844260439132
"KRT19","CG32",198,"-0.17 (0.22)",0.391486759111037
"KRT19","CG48",197,"0.41 (0.23)",0.173077358435966
"KRT19","PB",80,"-0.04 (0.42)",0.960792194083284
"KRT19","SP",136,"0.05 (0.26)",0.943885131654482
"KRT2","CG32",216,"-0.06 (0.06)",0.341595497716983
"KRT2","CG48",214,"0 (0.06)",0.546639201858922
"KRT2","PB",91,"0.16 (0.12)",0.222411124472686
"KRT2","SP",146,"-0.1 (0.08)",0.229637470383973
"KRT20","CG32",209,"0.05 (0.12)",0.795111883265313
"KRT20","CG48",211,"0.04 (0.12)",0.724819877796275
"KRT20","PB",91,"0.26 (0.19)",0.559457027336326
"KRT20","SP",143,"-0.18 (0.09)",0.179203523243912
"KRT25","CG32",119,"-0.14 (0.23)",0.504181476104371
"KRT25","CG48",117,"-0.27 (0.24)",0.0935293339517591
"KRT25","PB",52,"0.06 (0.41)",0.58412134228643
"KRT25","SP",86,"-0.09 (0.29)",0.746875471813962
"KRT27","CG32",121,"-0.07 (0.24)",0.606641486883492
"KRT27","CG48",118,"-0.27 (0.25)",0.119470453142619
"KRT27","PB",52,"0.08 (0.44)",0.58412134228643
"KRT27","SP",90,"0.03 (0.3)",0.931334541957517
"KRT28","CG32",163,"0.06 (0.37)",0.721956056512261
"KRT28","CG48",164,"-0.7 (0.39)",0.0200792222982847
"KRT28","PB",74,"0.04 (0.51)",0.696493852206888
"KRT28","SP",109,"0.82 (0.51)",0.193172623648527
"KRT3","CG32",155,"0.13 (0.25)",0.180800768250211
"KRT3","CG48",162,"-0.12 (0.24)",0.948849467288122
"KRT3","PB",71,"0.27 (0.35)",0.616223244553271
"KRT3","SP",107,"-0.27 (0.3)",0.675495276572581
"KRT4","CG32",134,"-0.58 (0.39)",0.297614063095287
"KRT4","CG48",146,"0.77 (0.4)",0.082088942920952
"KRT4","PB",62,"0.41 (0.57)",0.911879584585067
"KRT4","SP",90,"0.1 (0.48)",0.978651150284872
"KRT5","CG32",216,"0.01 (0.09)",0.860872950575909
"KRT5","CG48",214,"-0.07 (0.08)",0.367680207880254
"KRT5","PB",91,"-0.08 (0.12)",0.327961937980167
"KRT5","SP",146,"-0.09 (0.11)",0.48527478191306
"KRT6A","CG32",216,"0.03 (0.03)",0.254316272358533
"KRT6A","CG48",214,"0.03 (0.03)",0.136849190002661
"KRT6A","PB",91,"0 (0.03)",0.957855080011753
"KRT6A","SP",146,"-0.05 (0.04)",0.0319583512949129
"KRT6B","CG32",216,"-0.01 (0.05)",0.571384650795932
"KRT6B","CG48",214,"-0.05 (0.06)",0.569585049569971
"KRT6B","PB",91,"0.01 (0.07)",0.798852618485636
"KRT6B","SP",146,"-0.03 (0.06)",0.120695094420966
"KRT6C","CG32",216,"-0.01 (0.05)",0.570896465674607
"KRT6C","CG48",214,"-0.06 (0.06)",0.393169722045185
"KRT6C","PB",91,"0.01 (0.07)",0.831673307465318
"KRT6C","SP",146,"-0.01 (0.06)",0.172756909456354
"KRT7","CG32",156,"-0.03 (0.17)",0.845416738581053
"KRT7","CG48",167,"-0.07 (0.17)",0.44271599268384
"KRT7","PB",62,"-0.1 (0.29)",0.267019773211952
"KRT7","SP",105,"-0.13 (0.23)",0.787033720658987
"KRT72","CG32",122,"-0.27 (0.27)",0.137696242533552
"KRT72","CG48",139,"0.26 (0.21)",0.0885519897977918
"KRT72","PB",59,"-0.18 (0.35)",0.2702858414864
"KRT72","SP",96,"0.09 (0.31)",0.956994057866229
"KRT73","CG32",120,"-0.3 (0.26)",0.149720448234532
"KRT73","CG48",141,"0.29 (0.23)",0.0395680211229575
"KRT73","PB",51,"-0.12 (0.36)",0.690318762330815
"KRT73","SP",105,"-0.41 (0.32)",0.750352312188443
"KRT75","CG32",208,"0.04 (0.17)",0.678632223596502
"KRT75","CG48",206,"0.06 (0.17)",0.648932762582303
"KRT75","PB",90,"0.18 (0.26)",0.451599914839758
"KRT75","SP",133,"-0.21 (0.23)",0.728515341815609
"KRT76","CG32",169,"0.21 (0.22)",0.270279093895899
"KRT76","CG48",171,"-0.07 (0.21)",0.315801571425777
"KRT76","PB",80,"0.17 (0.29)",0.664562026299992
"KRT76","SP",118,"-0.24 (0.28)",0.374992124653234
"KRT77","CG32",213,"0 (0.18)",0.993634122885602
"KRT77","CG48",208,"0.33 (0.18)",0.269153885808924
"KRT77","PB",87,"0.02 (0.28)",0.961447432144921
"KRT77","SP",143,"0.01 (0.24)",0.884063305454479
"KRT78","CG32",108,"0.33 (0.3)",0.411697527426044
"KRT78","CG48",116,"0.66 (0.28)",0.0825745140241806
"KRT78","PB",55,"0.72 (0.45)",0.28300272285998
"KRT78","SP",75,"0.02 (0.31)",0.661194194548189
"KRT79","CG32",212,"-0.28 (0.22)",0.16311191128035
"KRT79","CG48",210,"0.27 (0.21)",0.189713687148499
"KRT79","PB",89,"0.29 (0.36)",0.29650276284421
"KRT79","SP",143,"-0.29 (0.25)",0.347661029518418
"KRT8","CG32",215,"-0.12 (0.08)",0.152629326086494
"KRT8","CG48",213,"-0.07 (0.09)",0.262590931899785
"KRT8","PB",91,"0 (0.14)",0.892572831275532
"KRT8","SP",146,"0 (0.08)",0.472183530880483
"KRT81","CG32",119,"0 (0.14)",0.461526539937873
"KRT81","CG48",129,"-0.21 (0.18)",0.0876845911396415
"KRT81","PB",57,"0.15 (0.24)",0.0894561272396989
"KRT81","SP",83,"0.13 (0.23)",0.731046237487207
"KRT83","CG32",136,"-0.01 (0.18)",0.833323571482586
"KRT83","CG48",145,"-0.07 (0.18)",0.227222711795262
"KRT83","PB",58,"0.2 (0.23)",0.0868454640285153
"KRT83","SP",100,"0.04 (0.26)",0.957677165500627
"KRT85","CG32",159,"-0.02 (0.15)",0.92344212790259
"KRT85","CG48",166,"-0.25 (0.17)",0.0815452530693573
"KRT85","PB",69,"0.07 (0.23)",0.0679179979642713
"KRT85","SP",110,"0.12 (0.23)",0.333632732997637
"KRT86","CG32",119,"-0.01 (0.14)",0.487758755930122
"KRT86","CG48",129,"-0.21 (0.18)",0.0958277425046734
"KRT86","PB",57,"0.13 (0.24)",0.110427359103478
"KRT86","SP",83,"0.12 (0.23)",0.74286708128209
"KRT9","CG32",216,"-0.05 (0.04)",0.219342673512697
"KRT9","CG48",214,"-0.06 (0.04)",0.0952580323982258
"KRT9","PB",91,"0.08 (0.05)",0.124240848909051
"KRT9","SP",146,"-0.07 (0.05)",0.0316435209745754
"L2HGDH","CG32",144,"-0.17 (0.11)",0.261951869093866
"L2HGDH","CG48",155,"0.03 (0.08)",0.786700657803548
"L2HGDH","PB",66,"0.11 (0.12)",0.728682266567764
"L2HGDH","SP",97,"-0.2 (0.2)",0.798938075758685
"LAMA5","CG32",132,"-0.03 (0.23)",0.900567417267275
"LAMA5","CG48",136,"0.13 (0.18)",0.109288586698982
"LAMA5","PB",57,"-0.46 (0.34)",0.284573579655501
"LAMA5","SP",100,"0.07 (0.24)",0.568456514064218
"LAMB2","CG32",132,"0.18 (0.2)",0.184503143307294
"LAMB2","CG48",121,"-0.03 (0.22)",0.46893399066611
"LAMB2","PB",45,"-0.04 (0.36)",0.960048512922933
"LAMB2","SP",95,"-0.28 (0.26)",0.967852848840437
"LAMC1","CG32",184,"0.24 (0.25)",0.155716168659347
"LAMC1","CG48",193,"-0.08 (0.25)",0.492948575641898
"LAMC1","PB",73,"0.09 (0.47)",0.129404112221485
"LAMC1","SP",136,"0.66 (0.24)",0.00241641293623516
"LAP3","CG32",173,"-0.39 (0.19)",0.0390150364650705
"LAP3","CG48",173,"-0.24 (0.16)",0.161935430743871
"LAP3","PB",55,"0.12 (0.44)",0.828662232449673
"LAP3","SP",123,"-0.08 (0.18)",0.627212064027348
"LBP","CG32",216,"0.02 (0.07)",0.84509923456871
"LBP","CG48",214,"0.02 (0.07)",0.792692899894351
"LBP","PB",91,"-0.22 (0.13)",0.0857851249024664
"LBP","SP",146,"-0.01 (0.09)",0.783478798251656
"LCAT","CG32",216,"-0.09 (0.06)",0.321216996747914
"LCAT","CG48",214,"-0.04 (0.06)",0.0874818395044551
"LCAT","PB",91,"0.01 (0.09)",0.462970661586165
"LCAT","SP",146,"0.02 (0.07)",0.630016635946784
"LCN2","CG32",123,"0.4 (0.2)",0.4359429618191
"LCN2","CG48",120,"-0.21 (0.21)",0.400710879515788
"LCN2","PB",49,"0.21 (0.38)",0.591783128368245
"LCN2","SP",95,"-0.04 (0.19)",0.298111831167814
"LCP1","CG32",216,"-0.11 (0.09)",0.959326578753332
"LCP1","CG48",214,"-0.1 (0.09)",0.404700218633431
"LCP1","PB",91,"0.24 (0.17)",0.349298453169832
"LCP1","SP",146,"0.06 (0.09)",0.797690324290873
"LDHA","CG32",209,"-0.1 (0.12)",0.27428314094985
"LDHA","CG48",197,"-0.06 (0.12)",0.528398276278432
"LDHA","PB",88,"0 (0.15)",0.732804420000913
"LDHA","SP",140,"-0.13 (0.15)",0.144835803759975
"LDHB","CG32",214,"0 (0.13)",0.369153725032898
"LDHB","CG48",212,"0.06 (0.12)",0.506566295093376
"LDHB","PB",90,"0.09 (0.14)",0.073144928104246
"LDHB","SP",145,"-0.06 (0.14)",0.316030241723205
"LGALS3BP","CG32",216,"-0.03 (0.04)",0.444283406363665
"LGALS3BP","CG48",214,"0.02 (0.04)",0.562845239023626
"LGALS3BP","PB",91,"-0.05 (0.07)",0.773565749579292
"LGALS3BP","SP",146,"-0.05 (0.04)",0.737313413034971
"LMNA","CG32",164,"0 (0.17)",0.920247963692121
"LMNA","CG48",159,"-0.11 (0.15)",0.812404733768815
"LMNA","PB",78,"0.25 (0.19)",0.243318618404268
"LMNA","SP",111,"-0.19 (0.17)",0.931519947916961
"LNPK","CG32",153,"0.11 (0.09)",0.589426165946723
"LNPK","CG48",146,"-0.21 (0.1)",0.446533739839739
"LNPK","PB",76,"-0.21 (0.16)",0.451957576093147
"LNPK","SP",93,"-0.07 (0.1)",0.71228234118566
"LPA","CG32",216,"0.48 (0.16)",0.00289423585574966
"LPA","CG48",214,"0.14 (0.15)",0.234761925263643
"LPA","PB",91,"0.06 (0.26)",0.98407223300215
"LPA","SP",145,"-0.11 (0.16)",0.487657290388722
"LRBA","CG32",152,"0.07 (0.15)",0.198444124912664
"LRBA","CG48",161,"-0.18 (0.16)",0.47989934936677
